# sampling pid=30000 interval=0.5s CLK_TCK=100  (Ctrl-C to stop)
# time           CPU%
19:41:02.78     0.0
19:41:03.29     0.0
19:41:03.80     0.0
19:41:04.31     0.0
19:41:04.82     0.0
19:41:05.33     0.0
19:41:05.84     0.0
19:41:06.35     0.0
19:41:06.86     0.0
19:41:07.37     0.0
19:41:07.88     0.0
19:41:08.39     0.0
19:41:08.90     0.0
19:41:09.41     0.0
19:41:09.92     0.0
19:41:10.43     0.0
19:41:10.94     0.0
19:41:11.45     0.0
19:41:11.96     0.0
19:41:12.47     0.0
19:41:12.98     0.0
19:41:13.49     0.0
19:41:14.00     0.0
19:41:14.51     0.0
19:41:15.02     4.0
19:41:15.53    10.0
19:41:16.04    44.0
19:41:16.55    34.0
19:41:17.06     8.0
19:41:17.57     2.0
19:41:18.08     4.0
19:41:18.59     2.0
19:41:19.10     4.0
19:41:19.62     0.0
19:41:20.12     4.0
19:41:20.64    14.0
19:41:21.15     2.0
19:41:21.66     0.0
19:41:22.17     0.0
19:41:22.68     2.0
19:41:23.19     8.0
19:41:23.70     0.0
19:41:24.21     0.0
19:41:24.72     0.0
19:41:25.23    10.0
19:41:25.74    22.0
19:41:26.25    10.0
19:41:26.76    14.0
19:41:27.27     8.0
19:41:27.78     2.0
19:41:28.29     8.0
19:41:28.80    16.0
19:41:29.31     6.0
19:41:29.82     4.0
19:41:30.33     6.0
19:41:30.84    14.0
19:41:31.35    10.0
19:41:31.87    10.0
19:41:32.38    16.0
19:41:32.89     6.0
19:41:33.40     2.0
19:41:33.91    14.0
19:41:34.42     0.0
19:41:34.93     0.0
19:41:35.44     0.0
19:41:35.95     0.0
19:41:36.46     0.0
19:41:36.97     0.0
19:41:37.48     0.0
19:41:37.99     4.0
19:41:38.50     4.0
19:41:39.01     8.0
19:41:39.52     6.0
19:41:40.03    22.0
19:41:40.54    26.0
19:41:41.05     6.0
19:41:41.56    16.0
19:41:42.07     2.0
19:41:42.58     8.0
19:41:43.09    18.0
19:41:43.60    20.0
19:41:44.11     4.0
19:41:44.62     0.0
19:41:45.13     0.0
19:41:45.64     6.0
19:41:46.15    12.0
19:41:46.66     2.0
19:41:47.17     8.0
19:41:47.68     8.0
19:41:48.19     6.0
19:41:48.70     0.0
19:41:49.21     2.0
19:41:49.72    12.0
19:41:50.23     6.0
19:41:50.74    14.0
19:41:51.25    10.0
19:41:51.76     6.0
19:41:52.27     2.0
19:41:52.78    82.0
19:41:53.29   100.0
19:41:53.80   102.0
19:41:54.31    34.0
19:41:54.82     0.0
19:41:55.33     2.0
19:41:55.84    68.0
19:41:56.35    12.0
19:41:56.86     0.0
19:41:57.37     0.0
19:41:57.88     2.0
19:41:58.39     0.0
19:41:58.90     2.0
19:41:59.41     0.0
19:41:59.92     0.0
19:42:00.43     0.0
19:42:00.94     0.0
19:42:01.45     0.0
19:42:01.96     0.0
19:42:02.47     0.0
19:42:02.98     0.0
19:42:03.49     2.0
19:42:04.00    12.0
19:42:04.51    10.0
19:42:05.02     0.0
19:42:05.53    12.0
19:42:06.04     0.0
19:42:06.55     0.0
19:42:07.06     0.0
19:42:07.57     0.0
19:42:08.08     2.0
19:42:08.59     2.0
19:42:09.10    20.0
19:42:09.61    16.0
19:42:10.12    84.0
19:42:10.63     0.0
19:42:11.14     0.0
19:42:11.65     2.0
19:42:12.16     0.0
19:42:12.67     2.0
19:42:13.18    16.0
19:42:13.69     4.0
19:42:14.20    40.0
19:42:14.71    76.0
19:42:15.22     4.0
19:42:15.73    22.0
19:42:16.24     0.0
19:42:16.75     4.0
19:42:17.26    12.0
19:42:17.77     0.0
19:42:18.28     4.0
19:42:18.79     6.0
19:42:19.30     0.0
19:42:19.81     4.0
19:42:20.32     8.0
19:42:20.83     2.0
19:42:21.34     6.0
19:42:21.85     0.0
19:42:22.36     8.0
19:42:22.87    12.0
19:42:23.38     0.0
19:42:23.89     0.0
19:42:24.41     2.0
19:42:24.91     0.0
19:42:25.43     0.0
